name	userid	followers	followees	bio	time
wrangellstenps	2224972819	13204	251	Official Instagram for Wrangell-St. Elias National Park. Volcanoes, glaciers, copper, wilderness, whales, and so much more! Tag with #wrangellstenps	2019-06-12 15:16:50.647146
yellowstonenps	1565107527	847383	186	Take the pledge.👇🏽Tell a friend. Tag #YellowstonePledge.	2019-06-12 15:16:51.673088
yosemitenps	789230703	1480716	67	Yosemite National Park is known for its waterfalls, deep valleys, grand meadows, ancient giant sequoias, wilderness, & more.	2019-06-12 15:16:52.994995
zionnps	366372542	606103	155	The official Instagram account of Zion National Park.	2019-06-12 15:16:54.229113
acadianps	1760113310	229250	132	This is the official Instagram account for Acadia National Park in Bar Harbor, Maine.	2019-06-12 16:11:34.733615
archesnps	716395539	195221	107	Official Instagram site for Arches National Park. #ArchesNPS @ArchesNPS	2019-06-12 16:11:36.073891
badlandsnps	1396437996	141886	262	Official Instagram of Badlands National Park. Share photos: #badlandsnps	2019-06-12 16:11:36.575693
bigbendnps	1647920220	148062	164	"Official Instagram of Big Bend National Park and Rio Grande Wild & Scenic River. #BigBendNPS #RioGrandeNPS #HikeBigBend #BigBend
www.nps.gov/rigr &"	2019-06-12 16:11:39.443695
biscaynenps	1974033687	60078	718	The official Instagram account of Biscayne National Park.	2019-06-12 16:11:41.783301
blackcanyonnps	2301465471	22952	145	Black Canyon of the Gunnison is home to some of the steepest cliffs, oldest rock, and craggiest spires in North America. @blackcanyonnps	2019-06-12 16:11:43.323475
brycecanyonnps	1676679171	45978	409	#BryceCanyonNPS #discoverBryce	2019-06-12 16:11:44.141614
canyonlandsnps	2930922474	78152	95	The official Instagram of Canyonlands National Park. #CanyonlandsNPS @CanyonlandsNPS	2019-06-12 16:11:47.109490
capitolreefnps	4813894759	50536	60	The official feed for Capitol Reef National Park. Tag your photos #capitolreefnps if you'd like to be featured in our feed.	2019-06-12 16:11:49.293684
carlsbadcavernsnps	6267424760	43821	210	Official Instagram account of Carlsbad Caverns National Park. Tag us #CarlsbadCaverns #FindYourPark #EncuentraTuParque 🦇	2019-06-12 16:11:50.032593
channelislandsnps	3228076453	24810	128	Official Instagram for Channel Islands National Park.	2019-06-12 16:11:53.153641
congareenps	264028197	11261	373	The official Instagram of Congaree National Park. Check out www.findyourpark.com to see how you can Find Your Park!	2019-06-12 16:11:53.715218
craterlakenps	1991254373	13	0		2019-06-12 16:11:55.374775
cuyahogavalleynps	1989853670	52459	336	The official Instagram of Cuyahoga Valley National Park.	2019-06-12 16:11:58.891424
deathvalleynps	2242696112	198555	133	Death Valley: the lowest & driest place in North America, hottest place on Earth & more! Tag @deathvalleynps & share #DeathValleyLove to be featured!	2019-06-12 16:11:59.560218
denalinps	2129963644	208977	158	DenaliNPS is an official site established by the National Park Service in Aug 2015 to represent Denali National Park and Preserve in Alaska.	2019-06-12 16:12:01.032903
drytortugasnps	1636957301	51414	97	The official Dry Tortugas National Park Instagram account. 🐟🌴☀️ Tag your photos #DryTortugas	2019-06-12 16:12:03.618296
evergladesnps	1130671543	47920	388	America's Everglades – The largest subtropical wilderness in the United States! Tag your photos #EvergladesNationalPark	2019-06-12 16:12:06.893703
gatewayarchnps	509351161	2896	505	Official Instagram account for Gateway Arch National Park in St. Louis, Missouri, home of the Gateway Arch and historic Old Courthouse. #gatewayarch	2019-06-12 16:12:08.924609
glaciernps	394363369	698287	241	"Plan your trip responsibly. Check out our webpage for more info!
🏔"	2019-06-12 16:12:09.644166
glacierbaynps	3440243649	40455	138	Welcome to the official Instagram account for Glacier Bay National Park and Preserve. Tag #GlacierBay to share your experiences.	2019-06-12 16:12:11.275635
grandcanyonnps	354926024	547353	48	Official Instagram site for Grand Canyon Nat. Park. Photos posted are US Govt work, unless stated otherwise & photog cited. @GrandCanyonNPS on Twitter	2019-06-12 16:12:12.225835
grandtetonnps	1586622205	403781	125	This is the official Instagram for Grand Teton National Park. Use #mygrandteton for a chance to be featured.	2019-06-12 16:12:22.646572
greatbasinnps	511065143	1482	0		2019-06-12 16:12:27.804029
greatsanddunesnps	3021402145	15774	174	The official Instagram for Great Sand Dunes National Park and Preserve.	2019-06-12 16:12:28.867457
guadalupemountainsnps	1271874892	64791	267	"Official account for Guadalupe Mountains NP, home to the most extensive exposed fossil reef on Earth & the highest peak in Texas.
#guadalupemountains"	2019-06-12 16:12:30.458028
haleakalanps	3501917180	23564	317	The official Instagram for Haleakalā National Park.	2019-06-12 16:12:31.043589
